Aerofoil,AR,TaperRatio,SparHeight,SparWidth,BatteryMass,MaxStress
Clark - Y,5.0,0.4,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,5.0,0.45,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,5.0,0.5,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,5.0,0.55,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,5.0,0.6,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,5.0,0.6499999999999999,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,5.0,0.7,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,5.0,0.75,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,5.0,0.7999999999999999,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,5.0,0.8499999999999999,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,5.0,0.8999999999999999,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,5.0,0.9499999999999998,0.01,0.01,0.1047065674085426,9037352.07967478
Clark - Y,5.0,0.9999999999999999,0.01,0.012,0.10519100985997529,7567885.748173198
Clark - Y,5.125,0.4,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,5.125,0.45,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,5.125,0.5,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,5.125,0.55,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,5.125,0.6,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,5.125,0.6499999999999999,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,5.125,0.7,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,5.125,0.75,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,5.125,0.7999999999999999,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,5.125,0.8499999999999999,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,5.125,0.8999999999999999,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,5.125,0.9499999999999998,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,5.125,0.9999999999999999,0.01,0.01,0.10497199272417884,9194280.427165944
Clark - Y,5.25,0.4,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,5.25,0.45,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,5.25,0.5,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,5.25,0.55,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,5.25,0.6,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,5.25,0.6499999999999999,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,5.25,0.7,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,5.25,0.75,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,5.25,0.7999999999999999,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,5.25,0.8499999999999999,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,5.25,0.8999999999999999,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,5.25,0.9499999999999998,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,5.25,0.9999999999999999,0.01,0.01,0.10476717409579749,9305730.319672568
Clark - Y,5.375,0.4,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,5.375,0.45,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,5.375,0.5,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,5.375,0.55,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,5.375,0.6,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,5.375,0.6499999999999999,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,5.375,0.7,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,5.375,0.75,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,5.375,0.7999999999999999,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,5.375,0.8499999999999999,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,5.375,0.8999999999999999,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,5.375,0.9499999999999998,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,5.375,0.9999999999999999,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,5.5,0.4,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,5.5,0.45,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,5.5,0.5,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,5.5,0.55,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,5.5,0.6,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,5.5,0.6499999999999999,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,5.5,0.7,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,5.5,0.75,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,5.5,0.7999999999999999,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,5.5,0.8499999999999999,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,5.5,0.8999999999999999,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,5.5,0.9499999999999998,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,5.5,0.9999999999999999,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,5.625,0.4,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,5.625,0.45,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,5.625,0.5,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,5.625,0.55,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,5.625,0.6,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,5.625,0.6499999999999999,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,5.625,0.7,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,5.625,0.75,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,5.625,0.7999999999999999,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,5.625,0.8499999999999999,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,5.625,0.8999999999999999,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,5.625,0.9499999999999998,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,5.625,0.9999999999999999,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,5.75,0.4,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,5.75,0.45,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,5.75,0.5,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,5.75,0.55,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,5.75,0.6,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,5.75,0.6499999999999999,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,5.75,0.7,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,5.75,0.75,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,5.75,0.7999999999999999,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,5.75,0.8499999999999999,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,5.75,0.8999999999999999,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,5.75,0.9499999999999998,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,5.75,0.9999999999999999,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,5.875,0.4,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,5.875,0.45,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,5.875,0.5,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,5.875,0.55,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,5.875,0.6,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,5.875,0.6499999999999999,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,5.875,0.7,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,5.875,0.75,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,5.875,0.7999999999999999,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,5.875,0.8499999999999999,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,5.875,0.8999999999999999,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,5.875,0.9499999999999998,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,5.875,0.9999999999999999,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,6.0,0.4,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,6.0,0.45,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,6.0,0.5,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,6.0,0.55,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,6.0,0.6,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,6.0,0.6499999999999999,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,6.0,0.7,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,6.0,0.75,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,6.0,0.7999999999999999,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,6.0,0.8499999999999999,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,6.0,0.8999999999999999,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,6.0,0.9499999999999998,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,6.0,0.9999999999999999,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,6.125,0.4,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,6.125,0.45,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,6.125,0.5,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,6.125,0.55,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,6.125,0.6,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,6.125,0.6499999999999999,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,6.125,0.7,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,6.125,0.75,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,6.125,0.7999999999999999,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,6.125,0.8499999999999999,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,6.125,0.8999999999999999,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,6.125,0.9499999999999998,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,6.125,0.9999999999999999,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,6.25,0.4,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,6.25,0.45,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,6.25,0.5,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,6.25,0.55,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,6.25,0.6,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,6.25,0.6499999999999999,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,6.25,0.7,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,6.25,0.75,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,6.25,0.7999999999999999,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,6.25,0.8499999999999999,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,6.25,0.8999999999999999,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,6.25,0.9499999999999998,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,6.25,0.9999999999999999,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,6.375,0.4,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,6.375,0.45,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,6.375,0.5,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,6.375,0.55,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,6.375,0.6,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,6.375,0.6499999999999999,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,6.375,0.7,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,6.375,0.75,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,6.375,0.7999999999999999,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,6.375,0.8499999999999999,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,6.375,0.8999999999999999,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,6.375,0.9499999999999998,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,6.375,0.9999999999999999,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,6.5,0.4,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,6.5,0.45,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,6.5,0.5,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,6.5,0.55,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,6.5,0.6,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,6.5,0.6499999999999999,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,6.5,0.7,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,6.5,0.75,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,6.5,0.7999999999999999,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,6.5,0.8499999999999999,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,6.5,0.8999999999999999,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,6.5,0.9499999999999998,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,6.5,0.9999999999999999,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,6.625,0.4,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,6.625,0.45,0,0,SPAR FAIL,SPAR FAIL
