Aerofoil,AR,TaperRatio,SparHeight,SparWidth,BatteryMass,MaxStress
SD7037(D),5.0,0.25,0,0,SPAR FAIL,SPAR FAIL
SD7037(D),5.0,0.3,0,0,SPAR FAIL,SPAR FAIL
SD7037(D),5.0,0.35,0,0,SPAR FAIL,SPAR FAIL
SD7037(D),5.0,0.39999999999999997,0.01,0.01,0.0746154198280201,8344182.080441031
SD7037(D),5.0,0.44999999999999996,0.01,0.01,0.07564819969899607,8428927.001977444
SD7037(D),5.0,0.49999999999999994,0.01,0.012,0.07656801464675954,7090018.551731748
SD7037(D),5.0,0.5499999999999999,0.01,0.012,0.07741410139228998,7151678.8351435475
SD7037(D),5.0,0.5999999999999999,0.01,0.014,0.0782059804322307,6179558.872150378
SD7037(D),5.0,0.6499999999999999,0.01,0.014,0.07893294238095366,6226104.378297274
SD7037(D),5.0,0.7,0.015,0.01,0.07961952634767532,3901278.5239520418
SD7037(D),5.0,0.7499999999999999,0.015,0.016,0.08025653267919557,2454361.840375621
SD7037(D),5.0,0.7999999999999998,0.015,0.016,0.08085473532436506,2469532.2275642385
SD7037(D),5.0,0.8499999999999999,0.015,0.016,0.08140702078602298,2483882.5938237407
SD7037(D),5.0,0.8999999999999999,0.015,0.016,0.08191627194789423,2497477.677648533
SD7037(D),5.0,0.9499999999999998,0.015,0.018000000000000002,0.08241404651965398,2231444.95794439
SD7037(D),5.0,0.9999999999999998,0.015,0.018000000000000002,0.08284904151262211,2242336.5179772433
SD7037(D),5.125,0.25,0,0,SPAR FAIL,SPAR FAIL
SD7037(D),5.125,0.3,0,0,SPAR FAIL,SPAR FAIL
SD7037(D),5.125,0.35,0,0,SPAR FAIL,SPAR FAIL
SD7037(D),5.125,0.39999999999999997,0.01,0.01,0.0746735781246275,8447840.490701867
SD7037(D),5.125,0.44999999999999996,0.01,0.01,0.07565846805513413,8533638.184548318
SD7037(D),5.125,0.49999999999999994,0.01,0.012,0.0765448041237228,7178096.69344861
SD7037(D),5.125,0.5499999999999999,0.01,0.012,0.07736285837084558,7240522.972483839
SD7037(D),5.125,0.5999999999999999,0.01,0.012,0.07812966695380338,7299047.609079361
SD7037(D),5.125,0.6499999999999999,0.01,0.014,0.07883405677572318,6303450.255430653
SD7037(D),5.125,0.7,0.01,0.014,0.0794993445287551,6347802.004477837
SD7037(D),5.125,0.7499999999999999,0.015,0.014,0.08011645669284065,2839830.830162304
SD7037(D),5.125,0.7999999999999998,0.015,0.016,0.080696039708505,2500210.8228213163
SD7037(D),5.125,0.8499999999999999,0.015,0.016,0.08123097248680897,2514739.4613355217
SD7037(D),5.125,0.8999999999999999,0.015,0.016,0.08172448445228953,2528503.4346647677
SD7037(D),5.125,0.9499999999999998,0.015,0.016,0.08220553173205274,2541561.5632078997
SD7037(D),5.125,0.9999999999999998,0.015,0.018000000000000002,0.0826271998940201,2270192.698065665
SD7037(D),5.25,0.25,0,0,SPAR FAIL,SPAR FAIL
SD7037(D),5.25,0.3,0,0,SPAR FAIL,SPAR FAIL
SD7037(D),5.25,0.35,0,0,SPAR FAIL,SPAR FAIL
SD7037(D),5.25,0.39999999999999997,0,0,SPAR FAIL,SPAR FAIL
SD7037(D),5.25,0.44999999999999996,0.01,0.01,0.07566546406666871,8637079.99991303
SD7037(D),5.25,0.49999999999999994,0.01,0.012,0.07652154880824245,7265107.102933538
SD7037(D),5.25,0.5499999999999999,0.01,0.012,0.07731389818617614,7328290.091767123
SD7037(D),5.25,0.5999999999999999,0.01,0.012,0.07805757866402702,7387524.1437986065
SD7037(D),5.25,0.6499999999999999,0.01,0.014,0.07874110222908176,6379858.502813765
SD7037(D),5.25,0.7,0.01,0.014,0.07938667286372623,6424747.868448016
SD7037(D),5.25,0.7499999999999999,0.015,0.014,0.07998535816240933,2874254.278877597
SD7037(D),5.25,0.7999999999999998,0.015,0.016,0.08054769530847712,2530517.5150801283
SD7037(D),5.25,0.8499999999999999,0.015,0.016,0.0810665514363588,2545222.26473359
SD7037(D),5.25,0.8999999999999999,0.015,0.016,0.08154547742696462,2559153.080194763
SD7037(D),5.25,0.9499999999999998,0.015,0.016,0.08201104241936744,2572369.4948630566
SD7037(D),5.25,0.9999999999999998,0.015,0.018000000000000002,0.08242036108328059,2297711.1900426093
SD7037(D),5.375,0.25,0,0,SPAR FAIL,SPAR FAIL
SD7037(D),5.375,0.3,0,0,SPAR FAIL,SPAR FAIL
SD7037(D),5.375,0.35,0,0,SPAR FAIL,SPAR FAIL
SD7037(D),5.375,0.39999999999999997,0,0,SPAR FAIL,SPAR FAIL
SD7037(D),5.375,0.44999999999999996,0.01,0.01,0.07566997054473995,8739297.522399282
SD7037(D),5.375,0.49999999999999994,0.01,0.012,0.07649853715701653,7351087.694599545
SD7037(D),5.375,0.5499999999999999,0.01,0.012,0.07726721379997493,7415018.4371394655
SD7037(D),5.375,0.5999999999999999,0.01,0.012,0.07798948204629967,7474953.508270638
SD7037(D),5.375,0.6499999999999999,0.01,0.014,0.07865365236050677,6455362.415012918
SD7037(D),5.375,0.7,0.01,0.014,0.07928090934794715,6500783.034235321
SD7037(D),5.375,0.7499999999999999,0.015,0.01,0.07986247239324748,4071578.4290235657
SD7037(D),5.375,0.7999999999999998,0.015,0.016,0.08040878482837066,2560465.51035193
SD7037(D),5.375,0.8499999999999999,0.015,0.016,0.08091269840999046,2575344.2867688774
SD7037(D),5.375,0.8999999999999999,0.015,0.016,0.08137806363936993,2589439.969690196
SD7037(D),5.375,0.9499999999999998,0.015,0.016,0.08182924998599314,2602812.7970770886
SD7037(D),5.375,0.9999999999999998,0.015,0.018000000000000002,0.08222708710740698,2324903.9849730097
SD7037(D),5.5,0.25,0,0,SPAR FAIL,SPAR FAIL
SD7037(D),5.5,0.3,0,0,SPAR FAIL,SPAR FAIL
SD7037(D),5.5,0.35,0,0,SPAR FAIL,SPAR FAIL
SD7037(D),5.5,0.39999999999999997,0,0,SPAR FAIL,SPAR FAIL
SD7037(D),5.5,0.44999999999999996,0.01,0.01,0.07567259094791332,8840333.22025425
SD7037(D),5.5,0.49999999999999994,0.01,0.01,0.07647598185078232,8923289.028896132
SD7037(D),5.5,0.5499999999999999,0.01,0.012,0.07722277226570874,7500744.041569757
SD7037(D),5.5,0.5999999999999999,0.01,0.012,0.07792515204637172,7561372.026716293
SD7037(D),5.5,0.6499999999999999,0.01,0.014,0.07857131760996594,6529993.361589099
SD7037(D),5.5,0.7,0.01,0.014,0.07918151420053192,6575939.092120319
SD7037(D),5.5,0.7499999999999999,0.01,0.014,0.07974712036413552,6619259.35233547
SD7037(D),5.5,0.7999999999999998,0.015,0.014,0.08027849865339291,2960076.858412248
SD7037(D),5.5,0.8499999999999999,0.015,0.016,0.08076848249114515,2605118.042218166
SD7037(D),5.5,0.8999999999999999,0.015,0.016,0.0812212028844552,2619376.6864252235
SD7037(D),5.5,0.9499999999999998,0.015,0.016,0.08165899357386071,2632904.1181088416
SD7037(D),5.5,0.9999999999999998,0.015,0.016,0.08204612392749672,2645755.1782082794
SD7037(D),5.625,0.25,0,0,SPAR FAIL,SPAR FAIL
SD7037(D),5.625,0.3,0,0,SPAR FAIL,SPAR FAIL
SD7037(D),5.625,0.35,0,0,SPAR FAIL,SPAR FAIL
SD7037(D),5.625,0.39999999999999997,0,0,SPAR FAIL,SPAR FAIL
SD7037(D),5.625,0.44999999999999996,0.01,0.01,0.07567379514346985,8940227.161836969
SD7037(D),5.625,0.49999999999999994,0.01,0.01,0.07645403824036588,9024120.354002297
SD7037(D),5.625,0.5499999999999999,0.01,0.012,0.07718052260091672,7585500.901797467
SD7037(D),5.625,0.5999999999999999,0.01,0.012,0.07786437371327201,7646813.970668296
SD7037(D),5.625,0.6499999999999999,0.01,0.012,0.07849374183252238,7704411.095971197
SD7037(D),5.625,0.7,0.01,0.014,0.07908800190053923,6650245.847211262
SD7037(D),5.625,0.7499999999999999,0.01,0.014,0.07963869668280002,6694055.61742965
SD7037(D),5.625,0.7999999999999998,0.015,0.014,0.08015611910936984,2993525.1162332445
SD7037(D),5.625,0.8499999999999999,0.015,0.016,0.08063308165043377,2634555.3386459965
SD7037(D),5.625,0.8999999999999999,0.015,0.016,0.08107397853155648,2648975.1025909623
SD7037(D),5.625,0.9499999999999998,0.015,0.016,0.08149925367445679,2662655.391461827
SD7037(D),5.625,0.9999999999999998,0.015,0.016,0.08187637213315305,2675651.665889148
SD7037(D),5.75,0.25,0,0,SPAR FAIL,SPAR FAIL
SD7037(D),5.75,0.3,0,0,SPAR FAIL,SPAR FAIL
SD7037(D),5.75,0.35,0,0,SPAR FAIL,SPAR FAIL
SD7037(D),5.75,0.39999999999999997,0,0,SPAR FAIL,SPAR FAIL
SD7037(D),5.75,0.44999999999999996,0.01,0.01,0.07567395175190887,9039017.201298166
SD7037(D),5.75,0.49999999999999994,0.01,0.01,0.07643281775466544,9123837.418203974
SD7037(D),5.75,0.5499999999999999,0.01,0.012,0.07714040157357441,7669321.135876119
SD7037(D),5.75,0.5999999999999999,0.01,0.012,0.07780694309357614,7731311.717788128
SD7037(D),5.75,0.6499999999999999,0.01,0.012,0.07842059899412118,7789545.294735774
SD7037(D),5.75,0.7,0.01,0.014,0.07899993450374303,6723731.457563215
SD7037(D),5.75,0.7499999999999999,0.01,0.014,0.07953665968815837,6768025.328336355
SD7037(D),5.75,0.7999999999999998,0.015,0.012,0.080041006990441,3531037.7036723667
SD7037(D),5.75,0.8499999999999999,0.015,0.014,0.08050576648839644,3044191.235567794
SD7037(D),5.75,0.8999999999999999,0.015,0.016,0.0809355800171761,2678246.434312126
SD7037(D),5.75,0.9499999999999998,0.015,0.016,0.08134913071862282,2692077.8911849824
SD7037(D),5.75,0.9999999999999998,0.015,0.016,0.08171686294836109,2705217.775214193
SD7037(D),5.875,0.25,0,0,SPAR FAIL,SPAR FAIL
SD7037(D),5.875,0.3,0,0,SPAR FAIL,SPAR FAIL
SD7037(D),5.875,0.35,0,0,SPAR FAIL,SPAR FAIL
SD7037(D),5.875,0.39999999999999997,0,0,SPAR FAIL,SPAR FAIL
SD7037(D),5.875,0.44999999999999996,0.01,0.01,0.07567335144608546,9136739.146187807
SD7037(D),5.875,0.49999999999999994,0.01,0.01,0.0764123983658941,9222476.365061572
SD7037(D),5.875,0.5499999999999999,0.01,0.012,0.07710233818031786,7752235.125383016
SD7037(D),5.875,0.5999999999999999,0.01,0.012,0.07775266734414339,7814895.895225234
SD7037(D),5.875,0.6499999999999999,0.01,0.012,0.0783515903746025,7873759.042652773
SD7037(D),5.875,0.7,0.01,0.014,0.0789169159793222,6796422.5588540025
SD7037(D),5.875,0.7499999999999999,0.01,0.014,0.07944052278276229,6841195.296201049
SD7037(D),5.875,0.7999999999999998,0.01,0.014,0.07993259137229843,6883480.659251037
SD7037(D),5.875,0.8499999999999999,0.015,0.014,0.08038588740708087,3077102.367556011
SD7037(D),5.875,0.8999999999999999,0.015,0.016,0.08080528690893587,2707201.2913088747
SD7037(D),5.875,0.9499999999999998,0.015,0.016,0.08120782719527386,2721182.281790988
SD7037(D),5.875,0.9999999999999998,0.015,0.016,0.08156673854624089,2734464.2227489976
SD7037(D),6.0,0.25,0,0,SPAR FAIL,SPAR FAIL
SD7037(D),6.0,0.3,0,0,SPAR FAIL,SPAR FAIL
SD7037(D),6.0,0.35,0,0,SPAR FAIL,SPAR FAIL
SD7037(D),6.0,0.39999999999999997,0,0,SPAR FAIL,SPAR FAIL
SD7037(D),6.0,0.44999999999999996,0.01,0.01,0.07567222450787094,9233426.90909487
SD7037(D),6.0,0.49999999999999994,0.01,0.01,0.0763928323928214,9320071.42539261
SD7037(D),6.0,0.5499999999999999,0.01,0.012,0.07706625651513879,7834271.6440807795
SD7037(D),6.0,0.5999999999999999,0.01,0.012,0.07770136484256283,7897595.509318539
SD7037(D),6.0,0.6499999999999999,0.01,0.012,0.07828644200619399,7957081.564541888
SD7037(D),6.0,0.7,0.01,0.014,0.07883858700319063,6868344.37718247
SD7037(D),6.0,0.7499999999999999,0.01,0.014,0.07934984789925564,6913590.913304338
SD7037(D),6.0,0.7999999999999998,0.01,0.014,0.07983036013517077,6956323.752974985
SD7037(D),6.0,0.8499999999999999,0.015,0.014,0.08027286374018747,3109665.2041867548
SD7037(D),6.0,0.8999999999999999,0.015,0.016,0.08068245650644941,2735849.7218274344
SD7037(D),6.0,0.9499999999999998,0.015,0.016,0.08107463331862565,2749978.663418947
SD7037(D),6.0,0.9999999999999998,0.015,0.016,0.0814252366415981,2763401.1579308813
SD7037(D),6.125,0.25,0,0,SPAR FAIL,SPAR FAIL
SD7037(D),6.125,0.3,0,0,SPAR FAIL,SPAR FAIL
SD7037(D),6.125,0.35,0,0,SPAR FAIL,SPAR FAIL
SD7037(D),6.125,0.39999999999999997,0,0,SPAR FAIL,SPAR FAIL
SD7037(D),6.125,0.44999999999999996,0.01,0.01,0.0756707538581744,9329112.645140156
SD7037(D),6.125,0.49999999999999994,0.01,0.01,0.07637415221720059,9416655.056054682
SD7037(D),6.125,0.5499999999999999,0.01,0.01,0.07703207825974111,9498549.56949085
SD7037(D),6.125,0.5999999999999999,0.01,0.012,0.07765286496476828,7979438.063197716
