Aerofoil,AR,TaperRatio,SparHeight,SparWidth,BatteryMass,MaxStress
Clark - Y,4.0,0.4,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,4.0,0.45,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,4.0,0.5,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,4.0,0.55,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,4.0,0.6,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,4.0,0.6499999999999999,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,4.0,0.7,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,4.0,0.75,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,4.0,0.7999999999999999,0.01,0.01,0.10464470897987127,7951740.384182567
Clark - Y,4.0,0.8499999999999999,0.01,0.012,0.10549227179823464,6664956.393502062
Clark - Y,4.0,0.8999999999999999,0.01,0.012,0.10627072744003052,6701435.831412512
Clark - Y,4.0,0.9499999999999998,0.01,0.014,0.10704127777361959,5773752.453357686
Clark - Y,4.0,0.9999999999999999,0.01,0.014,0.10770599304600215,5801933.82132587
Clark - Y,4.125,0.4,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,4.125,0.45,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,4.125,0.5,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,4.125,0.55,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,4.125,0.6,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,4.125,0.6499999999999999,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,4.125,0.7,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,4.125,0.75,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,4.125,0.7999999999999999,0.01,0.01,0.10437881935801317,8075030.533099234
Clark - Y,4.125,0.8499999999999999,0.01,0.012,0.10518448567983212,6768295.213254339
Clark - Y,4.125,0.8999999999999999,0.01,0.012,0.10592515323755833,6805340.25757485
Clark - Y,4.125,0.9499999999999998,0.01,0.012,0.10665586810037632,6840485.556032762
Clark - Y,4.125,0.9999999999999999,0.01,0.014,0.10728870710344278,5891891.648200954
Clark - Y,4.25,0.4,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,4.25,0.45,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,4.25,0.5,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,4.25,0.55,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,4.25,0.6,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,4.25,0.6499999999999999,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,4.25,0.7,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,4.25,0.75,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,4.25,0.7999999999999999,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,4.25,0.8499999999999999,0.01,0.01,0.10490198142271477,8244095.760163421
Clark - Y,4.25,0.8999999999999999,0.01,0.012,0.10560910647644774,6907681.944053175
Clark - Y,4.25,0.9499999999999998,0.01,0.012,0.1063045940128039,6943355.772897497
Clark - Y,4.25,0.9999999999999999,0.01,0.014,0.10690916756256269,5980496.494542518
Clark - Y,4.375,0.4,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,4.375,0.45,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,4.375,0.5,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,4.375,0.55,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,4.375,0.6,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,4.375,0.6499999999999999,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,4.375,0.7,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,4.375,0.75,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,4.375,0.7999999999999999,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,4.375,0.8499999999999999,0.01,0.01,0.10464165539667136,8364453.889553837
Clark - Y,4.375,0.8999999999999999,0.01,0.012,0.10531878391861094,7008529.350657496
