Aerofoil,AR,TaperRatio,SparHeight,SparWidth,BatteryMass,MaxStress
Clark - Y,4.0,1.0,0.015,0.018000000000000002,0.12660228725114342,2271769.3723867964
Clark - Y,4.125,1.0,0.015,0.016,0.12630371350891373,2595366.7914017923
Clark - Y,4.25,1.0,0.015,0.016,0.12603553599973394,2634397.0535795367
Clark - Y,4.375,1.0,0.015,0.016,0.12579328388717442,2672857.439128741
Clark - Y,4.5,1.0,0.015,0.016,0.12557337511530936,2710772.2043549074
Clark - Y,4.625,1.0,0.015,0.01,0.12537289701162288,4397062.291419716
Clark - Y,4.75,1.0,0.01,0.014,0.12518945048667146,7161566.629450484
Clark - Y,4.875,1.0,0.01,0.014,0.1250210368551059,7255185.85299017
Clark - Y,5.0,1.0,0.01,0.014,0.12486597401035918,7347612.328831637
Clark - Y,5.125,1.0,0.01,0.014,0.1247228334410605,7438890.515941786
Clark - Y,5.25,1.0,0.01,0.014,0.12459039246407415,7529062.178089554
Clark - Y,5.375,1.0,0.01,0.014,0.12446759660532679,7618166.60719025
Clark - Y,5.5,1.0,0.01,0.012,0.12435353070382572,8990614.293969838
Clark - Y,5.625,1.0,0.01,0.012,0.12424739567312651,9092206.380681783
Clark - Y,5.75,1.0,0.01,0.012,0.12414849007870256,9192675.79950943
Clark - Y,5.875,1.0,0.01,0.012,0.1240561948915172,9292058.966712499
Clark - Y,6.0,1.0,0.01,0.012,0.12396996164099142,9390390.371376367
Clark - Y,6.125,1.0,0.01,0.012,0.12388930207845238,9487702.715242175
Clark - Y,6.25,1.0,0.01,0.012,0.12381377987380791,9584027.039756801
Clark - Y,6.375,1.0,0.01,0.012,0.12374300390051948,9679392.841741947
Clark - Y,6.5,1.0,0.01,0.01,0.12367662213524921,11728593.814684993
Clark - Y,6.625,1.0,0.01,0.01,0.12361431689911415,11840831.719506543
Clark - Y,6.75,1.0,0.01,0.01,0.12355580052865066,11952015.677260358
Clark - Y,6.875,1.0,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,7.0,1.0,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,7.125,1.0,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,7.25,1.0,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,7.375,1.0,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,7.5,1.0,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,7.625,1.0,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,7.75,1.0,0,0,SPAR FAIL,SPAR FAIL
