Aerofoil,AR,TaperRatio,SparHeight,SparWidth,BatteryMass,MaxStress
Ultra - Sport 1000,4,0.45,0.022500000000000003,0.022500000000000003,0.07761483235210906,615243.6197913976
Ultra - Sport 1000,7,0.25,0.01,0.01,0.07320942241165317,8853151.30741866
Ultra - Sport 1000,7,0.45,0.0175,0.015000000000000001,0.07484371663956761,2018117.000642823
Ultra - Sport 1000,10,0.25,0,0,SPAR FAIL,SPAR FAIL
Ultra - Sport 1000,10,0.45,0.015000000000000001,0.01,0.07376459448022625,4924726.98464452
E231,4,0.25,0.01,0.01,0.08821315553658148,6692353.336758888
E231,4,0.45,0.015000000000000001,0.015000000000000001,0.08683544499616407,2076447.216795967
E231,7,0.25,0,0,SPAR FAIL,SPAR FAIL
E231,7,0.45,0.01,0.01,0.0849219116283121,9270724.971702969
E231,10,0.25,0,0,SPAR FAIL,SPAR FAIL
E231,10,0.45,0.01,0.01,0.08405379608253585,11080635.715450173
E374 (B),4,0.25,0,0,SPAR FAIL,SPAR FAIL
E374 (B),4,0.45,0.0125,0.0125,0.0765792798496574,3588100.7906234306
E374 (B),7,0.25,0,0,SPAR FAIL,SPAR FAIL
E374 (B),7,0.45,0.01,0.01,0.0730239342910251,9270724.971702969
E374 (B),10,0.25,0,0,SPAR FAIL,SPAR FAIL
E374 (B),10,0.45,0,0,SPAR FAIL,SPAR FAIL
E387 (C),4,0.25,0,0,SPAR FAIL,SPAR FAIL
E387 (C),4,0.45,0.01,0.01,0.07743499598544687,7008009.356686389
E387 (C),7,0.25,0,0,SPAR FAIL,SPAR FAIL
E387 (C),7,0.45,0,0,SPAR FAIL,SPAR FAIL
E387 (C),10,0.25,0,0,SPAR FAIL,SPAR FAIL
E387 (C),10,0.45,0,0,SPAR FAIL,SPAR FAIL
RG14,4,0.25,0,0,SPAR FAIL,SPAR FAIL
RG14,4,0.45,0.01,0.01,0.05404265469331087,7008009.356686389
RG14,7,0.25,0,0,SPAR FAIL,SPAR FAIL
RG14,7,0.45,0,0,SPAR FAIL,SPAR FAIL
RG14,10,0.25,0,0,SPAR FAIL,SPAR FAIL
RG14,10,0.45,0,0,SPAR FAIL,SPAR FAIL
RG15 (C),4,0.25,0,0,SPAR FAIL,SPAR FAIL
RG15 (C),4,0.45,0.01,0.01,0.0552953832020592,7008009.356686389
RG15 (C),7,0.25,0,0,SPAR FAIL,SPAR FAIL
