Aerofoil,AR,TaperRatio,SparHeight,SparWidth,BatteryMass,MaxStress
Clark - Y,4.0,1.0,0.015,0.018000000000000002,0.12660228720332348,2271769.3723867964
Clark - Y,4.125,1.0,0.015,0.016,0.12630371350891367,2595366.7914017923
Clark - Y,4.25,1.0,0.015,0.016,0.12603553599973394,2634397.0535795367
Clark - Y,4.375,1.0,0.015,0.016,0.12579328388717442,2672857.439128741
Clark - Y,4.5,1.0,0.015,0.016,0.12557337511530936,2710772.2043549074
Clark - Y,4.625,1.0,0.015,0.01,0.12537289701162288,4397062.291419716
Clark - Y,4.75,1.0,0.01,0.014,0.12518945048667146,7161566.629450484
Clark - Y,4.875,1.0,0.01,0.014,0.1250210368551059,7255185.85299017
Clark - Y,5.0,1.0,0.01,0.014,0.12486597401035918,7347612.328831637
Clark - Y,5.125,1.0,0.01,0.014,0.1247228334410605,7438890.515941786
Clark - Y,5.25,1.0,0.01,0.014,0.12459039246407415,7529062.178089554
Clark - Y,5.375,1.0,0.01,0.014,0.12446759660532679,7618166.60719025
Clark - Y,5.5,1.0,0.01,0.012,0.12435353070382572,8990614.293969838
Clark - Y,5.625,1.0,0.01,0.012,0.12424739567312651,9092206.380681783
Clark - Y,5.75,1.0,0.01,0.012,0.12414849007870256,9192675.79950943
Clark - Y,5.875,1.0,0.01,0.012,0.1240561948915172,9292058.966712499
Clark - Y,6.0,1.0,0.01,0.012,0.12396996164099142,9390390.371376367
Clark - Y,6.125,1.0,0.01,0.012,0.12388930207845238,9487702.715242175
Clark - Y,6.25,1.0,0.01,0.012,0.12381377987380791,9584027.039756801
Clark - Y,6.375,1.0,0.01,0.012,0.12374300390051948,9679392.841741947
Clark - Y,6.5,1.0,0.01,0.01,0.12367662213524921,11728593.814684993
Clark - Y,6.625,1.0,0.01,0.01,0.12361431689911415,11840831.719506543
Clark - Y,6.75,1.0,0.01,0.01,0.12355580052865066,11952015.677260358
Clark - Y,6.875,1.0,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,7.0,1.0,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,7.125,1.0,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,7.25,1.0,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,7.375,1.0,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,7.5,1.0,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,7.625,1.0,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,7.75,1.0,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,7.875,1.0,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,8.0,1.0,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,8.125,1.0,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,8.25,1.0,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,8.375,1.0,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,8.5,1.0,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,8.625,1.0,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,8.75,1.0,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,8.875,1.0,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,9.0,1.0,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,9.125,1.0,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,9.25,1.0,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,9.375,1.0,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,9.5,1.0,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,9.625,1.0,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,9.75,1.0,0,0,SPAR FAIL,SPAR FAIL
Clark - Y,9.875,1.0,0,0,SPAR FAIL,SPAR FAIL
Falcon-56 MkII,4.0,1.0,0.019999999999999997,0.022,0.10551775247537558,1045530.2225189239
Falcon-56 MkII,4.125,1.0,0.019999999999999997,0.022,0.10514828071377458,1061740.9601189154
Falcon-56 MkII,4.25,1.0,0.019999999999999997,0.022,0.1048119056723614,1077707.8855552655
Falcon-56 MkII,4.375,1.0,0.019999999999999997,0.022,0.10450427950807846,1093441.6796435763
Falcon-56 MkII,4.5,1.0,0.019999999999999997,0.02,0.1042218333037379,1219847.4919597087
Falcon-56 MkII,4.625,1.0,0.019999999999999997,0.02,0.10396160138882322,1236673.7694617955
Falcon-56 MkII,4.75,1.0,0.019999999999999997,0.01,0.10372109293171451,2506548.3203076706
Falcon-56 MkII,4.875,1.0,0.015,0.02,0.10349819603866102,2257168.9320413866
Falcon-56 MkII,5.0,1.0,0.015,0.018000000000000002,0.10329110470879488,2539915.3729294552
Falcon-56 MkII,5.125,1.0,0.015,0.018000000000000002,0.10309826305847387,2571468.3264983953
Falcon-56 MkII,5.25,1.0,0.015,0.018000000000000002,0.10291832148921133,2602638.777611204
Falcon-56 MkII,5.375,1.0,0.015,0.018000000000000002,0.10275010223616636,2633440.3086583586
Falcon-56 MkII,5.5,1.0,0.015,0.018000000000000002,0.10259257153030331,2663885.7167318035
Falcon-56 MkII,5.625,1.0,0.015,0.016,0.10244481762699129,3030735.4602272613
Falcon-56 MkII,5.75,1.0,0.015,0.016,0.10230603261433296,3064225.266503143
Falcon-56 MkII,5.875,1.0,0.015,0.016,0.10217549732090797,3097352.988904166
Falcon-56 MkII,6.0,1.0,0.015,0.016,0.10205256937728809,3130130.1237921226
Falcon-56 MkII,6.125,1.0,0.015,0.016,0.10193667264820147,3162567.571747392
Falcon-56 MkII,6.25,1.0,0.015,0.016,0.10182728880201607,3194675.679918934
Falcon-56 MkII,6.375,1.0,0.015,0.016,0.10172394991706153,3226464.2805806496
Falcon-56 MkII,6.5,1.0,0.015,0.014,0.10162623246192887,3723363.1157730143
Falcon-56 MkII,6.625,1.0,0.015,0.01,0.1015337520197882,5262591.875336242
Falcon-56 MkII,6.75,1.0,0.01,0.014,0.10144615866203065,8537154.055185968
Falcon-56 MkII,6.875,1.0,0.01,0.014,0.10136313318866483,8615839.166056208
Falcon-56 MkII,7.0,1.0,0.01,0.014,0.10128438367266637,8693812.150530867
Falcon-56 MkII,7.125,1.0,0.01,0.014,0.10120964265238534,8771092.000548627
Falcon-56 MkII,7.25,1.0,0.01,0.014,0.10113866451279932,8847696.882189829
Falcon-56 MkII,7.375,1.0,0.01,0.014,0.10107122325275365,8923644.167537618
Falcon-56 MkII,7.5,1.0,0.01,0.012,0.10100711064536154,10498775.602828523
Falcon-56 MkII,7.625,1.0,0.01,0.012,0.10094613434132965,10585903.865259837
Falcon-56 MkII,7.75,1.0,0.01,0.012,0.10088811647013222,10672320.840871446
Falcon-56 MkII,7.875,1.0,0.01,0.012,0.10083289226181977,10758043.670504168
Falcon-56 MkII,8.0,1.0,0.01,0.012,0.10078030885051459,10843088.817419626
Falcon-56 MkII,8.125,1.0,0.01,0.012,0.10073299816739237,10927472.104216345
Falcon-56 MkII,8.25,1.0,0.01,0.012,0.10068794399452548,11011208.751676261
Falcon-56 MkII,8.375,1.0,0.01,0.012,0.1006450303027795,11094313.388415612
Falcon-56 MkII,8.5,1.0,0.01,0.012,0.10060414860656944,11176800.125543697
Falcon-56 MkII,8.625,1.0,0.01,0.012,0.10056519745889696,11258682.53981475
Falcon-56 MkII,8.75,1.0,0.01,0.012,0.1005280821196442,11339973.722117051
Falcon-56 MkII,8.875,1.0,0.01,0.01,0.10049271360575704,13704823.556914726
Falcon-56 MkII,9.0,1.0,0.01,0.01,0.10045900852685151,13800998.942860818
Falcon-56 MkII,9.125,1.0,0.01,0.01,0.10042688858804547,13896508.72002659
Falcon-56 MkII,9.25,1.0,0.01,0.01,0.10039628020722874,13991366.536031434
Falcon-56 MkII,9.375,1.0,0.01,0.01,0.1003671141665085,14085585.557064544
Falcon-56 MkII,9.5,1.0,0.01,0.01,0.10033932529429226,14179178.517290428
Falcon-56 MkII,9.625,1.0,0.01,0.01,0.10031285217488797,14272157.733328048
Falcon-56 MkII,9.75,1.0,0.01,0.01,0.10028763688286138,14364535.123170558
Falcon-56 MkII,9.875,1.0,0,0,SPAR FAIL,SPAR FAIL
PT - 40 (A),4.0,1.0,0.015,0.018000000000000002,0.1421865964892876,2271769.3723867964
PT - 40 (A),4.125,1.0,0.015,0.016,0.14242003763692734,2595366.7914017923
PT - 40 (A),4.25,1.0,0.015,0.016,0.14265003834828338,2634397.0535795367
PT - 40 (A),4.375,1.0,0.015,0.016,0.14287572351901467,2672857.439128741
PT - 40 (A),4.5,1.0,0.015,0.014,0.14309652501516382,3098025.376405609
PT - 40 (A),4.625,1.0,0.01,0.016,0.14331209267178252,6183368.847308974
PT - 40 (A),4.75,1.0,0.01,0.014,0.14352223207914697,7161566.629450484
PT - 40 (A),4.875,1.0,0.01,0.014,0.1437268605161559,7255185.85299017
PT - 40 (A),5.0,1.0,0.01,0.014,0.14392597531197393,7347612.328831637
PT - 40 (A),5.125,1.0,0.01,0.014,0.14411963056424912,7438890.515941786
PT - 40 (A),5.25,1.0,0.01,0.014,0.14430792077938578,7529062.178089554
PT - 40 (A),5.375,1.0,0.01,0.014,0.14449096823766835,7618166.60719025
PT - 40 (A),5.5,1.0,0.01,0.012,0.14466891395544693,8990614.293969838
PT - 40 (A),5.625,1.0,0.01,0.012,0.14484191114277936,9092206.380681783
PT - 40 (A),5.75,1.0,0.01,0.012,0.1450101200111442,9192675.79950943
PT - 40 (A),5.875,1.0,0.01,0.012,0.1451737041131894,9292058.966712499
PT - 40 (A),6.0,1.0,0.01,0.012,0.1453328278221234,9390390.371376367
PT - 40 (A),6.125,1.0,0.01,0.012,0.14548765411915413,9487702.715242175
PT - 40 (A),6.25,1.0,0.01,0.012,0.14563834330057052,9584027.039756801
PT - 40 (A),6.375,1.0,0.01,0.01,0.14578505183352825,11615271.410090337
PT - 40 (A),6.5,1.0,0.01,0.01,0.14592793186177827,11728593.814684993
PT - 40 (A),6.625,1.0,0.01,0.01,0.14606713051224568,11840831.719506543
PT - 40 (A),6.75,1.0,0.01,0.01,0.14620278972731077,11952015.677260358
PT - 40 (A),6.875,1.0,0,0,SPAR FAIL,SPAR FAIL
PT - 40 (A),7.0,1.0,0,0,SPAR FAIL,SPAR FAIL
PT - 40 (A),7.125,1.0,0,0,SPAR FAIL,SPAR FAIL
PT - 40 (A),7.25,1.0,0,0,SPAR FAIL,SPAR FAIL
PT - 40 (A),7.375,1.0,0,0,SPAR FAIL,SPAR FAIL
PT - 40 (A),7.5,1.0,0,0,SPAR FAIL,SPAR FAIL
PT - 40 (A),7.625,1.0,0,0,SPAR FAIL,SPAR FAIL
PT - 40 (A),7.75,1.0,0,0,SPAR FAIL,SPAR FAIL
PT - 40 (A),7.875,1.0,0,0,SPAR FAIL,SPAR FAIL
PT - 40 (A),8.0,1.0,0,0,SPAR FAIL,SPAR FAIL
PT - 40 (A),8.125,1.0,0,0,SPAR FAIL,SPAR FAIL
PT - 40 (A),8.25,1.0,0,0,SPAR FAIL,SPAR FAIL
PT - 40 (A),8.375,1.0,0,0,SPAR FAIL,SPAR FAIL
PT - 40 (A),8.5,1.0,0,0,SPAR FAIL,SPAR FAIL
PT - 40 (A),8.625,1.0,0,0,SPAR FAIL,SPAR FAIL
PT - 40 (A),8.75,1.0,0,0,SPAR FAIL,SPAR FAIL
PT - 40 (A),8.875,1.0,0,0,SPAR FAIL,SPAR FAIL
PT - 40 (A),9.0,1.0,0,0,SPAR FAIL,SPAR FAIL
PT - 40 (A),9.125,1.0,0,0,SPAR FAIL,SPAR FAIL
PT - 40 (A),9.25,1.0,0,0,SPAR FAIL,SPAR FAIL
PT - 40 (A),9.375,1.0,0,0,SPAR FAIL,SPAR FAIL
PT - 40 (A),9.5,1.0,0,0,SPAR FAIL,SPAR FAIL
PT - 40 (A),9.625,1.0,0,0,SPAR FAIL,SPAR FAIL
PT - 40 (A),9.75,1.0,0,0,SPAR FAIL,SPAR FAIL
PT - 40 (A),9.875,1.0,0,0,SPAR FAIL,SPAR FAIL
PT - 40 (B),4.0,1.0,0.015,0.018000000000000002,0.12535132276745534,2271769.3723867964
PT - 40 (B),4.125,1.0,0.015,0.016,0.12541940001769625,2595366.7914017923
PT - 40 (B),4.25,1.0,0.015,0.016,0.12548938975205579,2634397.0535795367
PT - 40 (B),4.375,1.0,0.015,0.016,0.12556061260184503,2672857.439128741
PT - 40 (B),4.5,1.0,0.015,0.014,0.1256325421428887,3098025.376405609
PT - 40 (B),4.625,1.0,0.01,0.016,0.12570476947375114,6183368.847308974
PT - 40 (B),4.75,1.0,0.01,0.014,0.12577697627357304,7161566.629450484
PT - 40 (B),4.875,1.0,0.01,0.014,0.12584891508674279,7255185.85299017
PT - 40 (B),5.0,1.0,0.01,0.014,0.1259203938110981,7347612.328831637
PT - 40 (B),5.125,1.0,0.01,0.014,0.12599126409352945,7438890.515941786
PT - 40 (B),5.25,1.0,0.01,0.014,0.1260614122566721,7529062.178089554
PT - 40 (B),5.375,1.0,0.01,0.014,0.1261307521645441,7618166.60719025
PT - 40 (B),5.5,1.0,0.01,0.012,0.12619921969128944,8990614.293969838
PT - 40 (B),5.625,1.0,0.01,0.012,0.12626676832363032,9092206.380681783
PT - 40 (B),5.75,1.0,0.01,0.012,0.12633336560927352,9192675.79950943
PT - 40 (B),5.875,1.0,0.01,0.012,0.12639899042432537,9292058.966712499
